id,name,image,distillery,region,abv,cask,price,avg_rating,likes,is_featured
aberfeldy-12,애버펠디 12년,/whiskies/no.pic whisky.png,애버펠디,스코틀랜드 (하이랜드),40,버번 & 셰리 캐스크,8-10만원,0,0,false
amrut-fusion,암룻 퓨전,/whiskies/no.pic whisky.png,암룻,인도,50,ex-버번 캐스크,12-15만원,0,0,false
amrut-peated,암룻 피티드,/whiskies/no.pic whisky.png,암룻,인도,46,ex-버번 캐스크,15-18만원,0,0,false
angels-envy,엔젤스 엔비,/whiskies/no.pic whisky.png,엔젤스,미국 (켄터키),43.3,포트 와인 캐스크 피니쉬,15-18만원,0,0,false
ardbeg-10,아드벡 10년,/whiskies/아드벡 10년.png,아드벡,스코틀랜드 (아일라),46,ex-버번 배럴,8-12만원,0,0,false
ardbeg-corryvreckan,아드벡 코리브렉칸,/whiskies/no.pic whisky.png,아드벡,스코틀랜드 (아일라),57.1,프렌치 오크,25-30만원,0,0,false
ardbeg-wee-beastie,아드벡 위 비스티,/whiskies/아드벡 위 비스티.png,아드벡,스코틀랜드 (아일라),47.4,버번 & 올로로소 셰리,8-10만원,0,0,false
arran-10,아란 10년,/whiskies/아란 10년.png,아란,스코틀랜드 (아일랜즈),46,버번 & 셰리,8-10만원,0,0,false
arran-quarter-cask,아란 쿼터 캐스크,/whiskies/no.pic whisky.png,아란,스코틀랜드 (아일랜즈),56.2,쿼터 캐스크,10-12만원,0,0,false
aultmore-12,올트모어 12년,/whiskies/no.pic whisky.png,올트모어,스코틀랜드 (스페이사이드),46,버번 캐스크,12-15만원,0,0,false
bakers-7,베이커스 7년,/whiskies/no.pic whisky.png,베이커스,미국 (켄터키),53.5,아메리칸 오크,12-15만원,0,0,false
balvenie-12-doublewood,발베니 12년 더블우드,/whiskies/발베니 12년 더블우드.png,발베니,스코틀랜드 (스페이사이드),40,버번 & 셰리,10-12만원,0,0,false
balvenie-14-caribbean-cask,발베니 14년 캐리비안 캐스크,/whiskies/no.pic whisky.png,발베니,스코틀랜드 (스페이사이드),43,캐리비안 럼 캐스크,18-20만원,0,0,false
basil-haydens,베이실 헤이든,/whiskies/no.pic whisky.png,베이실,미국 (켄터키),40,아메리칸 오크,8-10만원,0,0,false
benriach-10,벤리악 10년,/whiskies/no.pic whisky.png,벤리악,스코틀랜드 (스페이사이드),43,버번 & 셰리 & 버진 오크,8-10만원,0,0,false
benriach-12,벤리악 12년,/whiskies/no.pic whisky.png,벤리악,스코틀랜드 (스페이사이드),46,셰리 & 버번 & 포트,12-15만원,0,0,false
benromach-10,벤로막 10년,/whiskies/no.pic whisky.png,벤로막,스코틀랜드 (스페이사이드),43,버번 & 셰리,8-10만원,0,0,false
blantons-single-barrel,블랑톤 싱글 배럴,/whiskies/no.pic whisky.png,블랑톤,미국 (켄터키),46.5,아메리칸 오크,18-20만원,0,0,false
bookers,부커스,/whiskies/no.pic whisky.png,부커스,미국 (켄터키),63,아메리칸 오크,15-18만원,0,0,false
bowmore-12,보모어 12년,/whiskies/no.pic whisky.png,보모어,스코틀랜드 (아일라),40,버번 & 셰리,8-10만원,0,0,false
bowmore-15,보모어 15년,/whiskies/no.pic whisky.png,보모어,스코틀랜드 (아일라),43,버번 & 올로로소 셰리,12-15만원,0,0,false
bruichladdich-classic-laddie,브룩라디 클래식 래디,/whiskies/브룩라디 클래식 래디.png,브룩라디,스코틀랜드 (아일라),50,아메리칸 오크,8-10만원,0,0,false
buffalo-trace,버팔로 트레이스,/whiskies/버팔로 트레이스.png,버팔로,미국 (켄터키),45,아메리칸 오크,4-6만원,0,0,false
bulleit-bourbon,불렛 버번,/whiskies/no.pic whisky.png,불렛,미국 (켄터키),45,아메리칸 오크,4-6만원,0,0,false
bunnahabhain-12,부나하벤 12년,/whiskies/no.pic whisky.png,부나하벤,스코틀랜드 (아일라),46.3,버번 & 셰리,8-10만원,0,0,false
bushmills-10,부쉬밀 10년,/whiskies/no.pic whisky.png,부쉬밀,아일랜드,40,버번 & 셰리,8-10만원,0,0,false
canadian-club,캐나디안 클럽,/whiskies/no.pic whisky.png,캐나디안,캐나다,40,블렌디드,2-4만원,0,0,false
caol-ila-12,쿠일라 12년,/whiskies/no.pic whisky.png,쿠일라,스코틀랜드 (아일라),43,버번 캐스크,8-10만원,0,0,false
cardhu-12,카듀 12년,/whiskies/no.pic whisky.png,카듀,스코틀랜드 (스페이사이드),40,버번 & 셰리,8-10만원,0,0,false
chita,치타,/whiskies/no.pic whisky.png,치타,일본,43,다양한 캐스크,8-10만원,0,0,false
chivas-regal-12,시바스 리갈 12년,/whiskies/no.pic whisky.png,시바스,스코틀랜드,40,블렌디드,4-6만원,0,0,false
chivas-regal-18,시바스 리갈 18년,/whiskies/no.pic whisky.png,시바스,스코틀랜드,40,블렌디드,12-15만원,0,0,false
clynelish-14,클라이넬리쉬 14년,/whiskies/no.pic whisky.png,클라이넬리쉬,스코틀랜드 (하이랜드),46,버번 캐스크,12-15만원,0,0,false
compass-box-peated-monster,컴파스 박스 피티드 몬스터,/whiskies/no.pic whisky.png,컴파스,스코틀랜드,46,블렌디드 몰트,10-12만원,0,0,false
connemara,코네마라,/whiskies/no.pic whisky.png,코네마라,아일랜드,40,피티드,8-10만원,0,0,false
cragganmore-12,크래건모어 12년,/whiskies/no.pic whisky.png,크래건모어,스코틀랜드 (스페이사이드),40,버번 캐스크,8-10만원,0,0,false
crown-royal,크라운 로얄,/whiskies/no.pic whisky.png,크라운,캐나다,40,블렌디드,4-6만원,0,0,false
dalmore-12,달모어 12년,/whiskies/no.pic whisky.png,달모어,스코틀랜드 (하이랜드),40,버번 & 셰리,12-15만원,0,0,false
dalmore-15,달모어 15년,/whiskies/no.pic whisky.png,달모어,스코틀랜드 (하이랜드),40,다양한 셰리 캐스크,18-20만원,0,0,false
dalwhinnie-15,달위니 15년,/whiskies/no.pic whisky.png,달위니,스코틀랜드 (하이랜드),43,버번 캐스크,10-12만원,0,0,false
deanston-12,딘스톤 12년,/whiskies/no.pic whisky.png,딘스톤,스코틀랜드 (하이랜드),46.3,버번 캐스크,8-10만원,0,0,false
dewars-12,듀어스 12년,/whiskies/no.pic whisky.png,듀어스,스코틀랜드,40,블렌디드,4-6만원,0,0,false
eagle-rare-10,이글 레어 10년,/whiskies/no.pic whisky.png,이글,미국 (켄터키),45,아메리칸 오크,8-10만원,0,0,false
elijah-craig-small-batch,일라이저 크레이그 스몰 배치,/whiskies/no.pic whisky.png,일라이저,미국 (켄터키),47,아메리칸 오크,8-10만원,0,0,false
famous-grouse,페이머스 그라우스,/whiskies/no.pic whisky.png,페이머스,스코틀랜드,40,블렌디드,2-4만원,0,0,false
four-roses-single-barrel,포 로지스 싱글 배럴,/whiskies/no.pic whisky.png,포,미국 (켄터키),50,아메리칸 오크,8-10만원,0,0,false
gentleman-jack,젠틀맨 잭,/whiskies/no.pic whisky.png,잭다니엘,미국 (테네시),40,차콜 멜로우잉,4-6만원,0,0,false
glenallachie-12,글렌알라키 12년,/whiskies/글렌알라키 12년.png,글렌알라키,스코틀랜드 (스페이사이드),46,셰리 & 버진 오크,10-12만원,0,0,false
glenallachie-15,글렌알라키 15년,/whiskies/no.pic whisky.png,글렌알라키,스코틀랜드 (스페이사이드),46,PX & 올로로소 셰리,15-18만원,0,0,false
glencadam-10,글렌카담 10년,/whiskies/no.pic whisky.png,글렌카담,스코틀랜드 (하이랜드),46,버번 캐스크,8-10만원,0,0,false
glendronach-12,글렌드로낙 12년,/whiskies/no.pic whisky.png,글렌드로낙,스코틀랜드 (하이랜드),43,PX & 올로로소 셰리,10-12만원,0,0,false
glenfarclas-105,글렌파클라스 105,/whiskies/no.pic whisky.png,글렌파클라스,스코틀랜드 (스페이사이드),60,셰리 캐스크,12-15만원,0,0,false
glenfiddich-12,글렌피딕 12년,/whiskies/글렌피딕 12년.png,글렌피딕,스코틀랜드 (스페이사이드),40,버번 & 셰리,8-10만원,0,0,false
glenfiddich-15,글렌피딕 15년,/whiskies/no.pic whisky.png,글렌피딕,스코틀랜드 (스페이사이드),40,솔레라 시스템,12-15만원,0,0,false
glenfiddich-18,글렌피딕 18년,/whiskies/no.pic whisky.png,글렌피딕,스코틀랜드 (스페이사이드),40,셰리 & 버번,18-20만원,0,0,false
glen-grant-10,글렌 그란트 10년,/whiskies/no.pic whisky.png,글렌,스코틀랜드 (스페이사이드),40,버번 캐스크,8-10만원,0,0,false
glenkinchie-12,글렌킨치 12년,/whiskies/no.pic whisky.png,글렌킨치,스코틀랜드 (로우랜드),43,버번 캐스크,8-10만원,0,0,false
glenlivet-12,글렌리벳 12년,/whiskies/no.pic whisky.png,글렌리벳,스코틀랜드 (스페이사이드),40,버번 & 유러피안 오크,8-10만원,0,0,false
glenlivet-15,글렌리벳 15년,/whiskies/no.pic whisky.png,글렌리벳,스코틀랜드 (스페이사이드),40,프렌치 오크,12-15만원,0,0,false
glenmorangie-10-the-original,글렌모렌지 10년 오리지널,/whiskies/글렌모렌지 10년.png,글렌모렌지,스코틀랜드 (하이랜드),40,버번 캐스크,8-10만원,0,0,false
glenmorangie-quinta-ruban-14,글렌모렌지 퀸타 루반 14년,/whiskies/no.pic whisky.png,글렌모렌지,스코틀랜드 (하이랜드),46,포트 캐스크,10-12만원,0,0,false
glenrothes-12,글렌로티스 12년,/whiskies/no.pic whisky.png,글렌로티스,스코틀랜드 (스페이사이드),40,셰리 캐스크,10-12만원,0,0,false
glenscotia-victoriana,글렌스코시아 빅토리아나,/whiskies/no.pic whisky.png,글렌스코시아,스코틀랜드 (캠벨타운),54.2,딥 차 오크,15-18만원,0,0,false
green-spot,그린 스팟,/whiskies/no.pic whisky.png,그린,아일랜드,40,버번 & 셰리,10-12만원,0,0,false
hakushu-distillers-reserve,하쿠슈 디스틸러스 리저브,/whiskies/no.pic whisky.png,하쿠슈,일본,43,다양한 캐스크,12-15만원,0,0,false
hazelburn-10,헤이즐번 10년,/whiskies/no.pic whisky.png,헤이즐번,스코틀랜드 (캠벨타운),46,버번 캐스크,12-15만원,0,0,false
hibiki-harmony,히비키 하모니,/whiskies/히비키 하모니.png,히비키,일본,43,블렌디드,15-18만원,0,0,false
highland-park-12,하이랜드 파크 12년,/whiskies/no.pic whisky.png,하이랜드,스코틀랜드 (아일랜즈),40,셰리 캐스크,8-10만원,0,0,false
hinch-5-double-wood,힌치 5년 더블우드,/whiskies/no.pic whisky.png,힌치,아일랜드,43,버번 & 버진 오크,6-8만원,0,0,false
hinch-peated-single-malt,힌치 피티드 싱글몰트,/whiskies/no.pic whisky.png,힌치,아일랜드,43,피티드,8-10만원,0,0,false
hinch-small-batch-bourbon-cask,힌치 스몰배치 버번 캐스크,/whiskies/no.pic whisky.png,힌치,아일랜드,43,버번 캐스크,4-6만원,0,0,false
hudson-baby-bourbon,허드슨 베이비 버번,/whiskies/no.pic whisky.png,허드슨,미국 (뉴욕),46,아메리칸 오크,10-12만원,0,0,false
inchmurrin-12,인치머린 12년,/whiskies/no.pic whisky.png,인치머린,스코틀랜드 (하이랜드),46,버번 & 리필 & 리차,8-10만원,0,0,false
jack-daniels-old-no7,잭 다니엘 올드 넘버 7,/whiskies/잭 다니엘.png,잭다니엘,미국 (테네시),40,차콜 멜로우잉,4-6만원,0,0,false
jameson,제임슨,/whiskies/no.pic whisky.png,제임슨,아일랜드,40,블렌디드,2-4만원,0,0,false
jims-korean-whisky-batch1,김창수 위스키 배치 1,/whiskies/no.pic whisky.png,김창수,한국,50,버진 오크,20-25만원,0,0,false
jims-korean-whisky-batch2,김창수 위스키 배치 2,/whiskies/no.pic whisky.png,김창수,한국,51,버진 오크,20-25만원,0,0,false
johnnie-walker-black-label,조니 워커 블랙 라벨,/whiskies/no.pic whisky.png,조니워커,스코틀랜드,40,블렌디드,4-6만원,0,0,false
johnnie-walker-blue-label,조니 워커 블루 라벨,/whiskies/no.pic whisky.png,조니워커,스코틀랜드,40,블렌디드,25-30만원,0,0,false
johnnie-walker-double-black,조니 워커 더블 블랙,/whiskies/no.pic whisky.png,조니워커,스코틀랜드,40,블렌디드,6-8만원,0,0,false
johnnie-walker-green-label,조니 워커 그린 라벨,/whiskies/no.pic whisky.png,조니워커,스코틀랜드,43,블렌디드 몰트,8-10만원,0,0,false
jura-10,주라 10년,/whiskies/no.pic whisky.png,주라,스코틀랜드 (아일랜즈),40,버번 & 셰리,8-10만원,0,0,false
kavalan-concertmaster,카발란 콘서트마스터,/whiskies/no.pic whisky.png,카발란,대만,40,포트 캐스크,12-15만원,0,0,false
kavalan-distillery-select,카발란 디스틸러리 셀렉트,/whiskies/no.pic whisky.png,카발란,대만,40,다양한 캐스크,10-12만원,0,0,false
